03-Aug-2026 15:28:58 | INFO    | Your Klayout version is: KLayout 0.30.9
03-Aug-2026 15:28:58 | INFO    | Running SG13CMOS5L LVS checks on design /foss/designs/ihp-open-pdk-regression/IOPADS/layout/sg13g2_IOPadVdd.gds on cell sg13g2_IOPadVdd
2026-08-03 15:29:12 +0200: Memory Usage (455760K) : Starting running SG13CMOS5L Klayout LVS runset on /foss/designs/ihp-open-pdk-regression/IOPADS/layout/sg13g2_IOPadVdd.gds
2026-08-03 15:29:12 +0200: Memory Usage (455760K) : Ruby Version for klayout: 3.2.3
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Loading database to memory is complete.
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : SG13CMOS5L Klayout LVS runset output at: /foss/designs/ihp-open-pdk-regression/IOPADS/lvs_sweep/20260803_152855/sg13g2_IOPadVdd/sg13g2_IOPadVdd.lvsdb
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Evaluate switches.
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Extracted netlist with net names: true
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Extracted netlist with comments in details: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected NET_ONLY option: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected LAYOUT_NETLIST option: (none)
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected IGNORE_TOP_PORTS_MISMATCH option: 
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected IMPLICIT_NETS option: (none)
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected TOP_LVL_PINS option: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected COMBINE DEVICES option: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected PURGE option: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected PURGE_NETS option: false
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected SIMPLIFY option: true
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected SERIES_RES option: true
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected PARALLEL_RES option: true
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : Selected DISABLE_TAP_EXTRACTION option: true
2026-08-03 15:29:12 +0200: Memory Usage (456528K) : flat  mode is enabled.
2026-08-03 15:29:12 +0200: Memory Usage (457040K) : Netlist file: /foss/designs/ihp-open-pdk-regression/IOPADS/netlist/pads_flat/sg13g2_IOPadVdd.spi
2026-08-03 15:29:12 +0200: Memory Usage (457040K) : LVS extracted netlist at: /foss/designs/ihp-open-pdk-regression/IOPADS/lvs_sweep/20260803_152855/sg13g2_IOPadVdd/sg13g2_IOPadVdd_extracted.cir
2026-08-03 15:29:12 +0200: Memory Usage (457040K) : Applying SRAM integration support.
2026-08-03 15:29:12 +0200: Memory Usage (457040K) : Starting SG13CMOS5L LVS runset
2026-08-03 15:29:12 +0200: Memory Usage (457040K) : Read in polygons from layers.
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_drw has 15 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_filler has 0 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ has 15 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_pin has 0 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_mask has 0 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_nofill has 0 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_OPC has 0 polygons
2026-08-03 15:29:12 +0200: Memory Usage (458192K) : activ_iOPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (458320K) : activ_noqrc has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (458448K) : biwind_drw has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (458576K) : biwind_OPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (458960K) : gatpoly_drw has 71 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459088K) : gatpoly_filler has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459088K) : gatpoly has 71 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459088K) : gatpoly_pin has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459088K) : gatpoly_nofill has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459216K) : gatpoly_OPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459344K) : gatpoly_iOPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (459472K) : gatpoly_noqrc has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : cont_drw has 23192 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : cont_OPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : nsd_drw has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : nsd_block has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_drw has 244 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_filler has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_slit has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1 has 244 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_pin has 5 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_mask has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464720K) : metal1_nofill has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_text has 5 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_OPC has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_noqrc has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_res has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_iprobe has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal1_diffprb has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_drw has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_pin has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_sbump has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_pillar has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_pdl has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal2_drw has 32 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_filler has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_slit has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2 has 32 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_pin has 26 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_mask has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_nofill has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_text has 26 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_OPC has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_noqrc has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_res has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_iprobe has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_diffprb has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : baspoly_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : baspoly_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : psd_drw has 5 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nldb_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : digibnd_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : via1_drw has 4146 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_mask has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_filler has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_nofill has 0 polygons
